ID,year_,arrival_date,departure_date,tenure,young,mates,success_yn,latit,longit,present_next_year,present_previous_year,tarsus,wing,weight,hema,testo
127232033,2008,175,176,2,0,0,0,71.32156,-156.66781,0,0,29.89999962,146.5,102.3000031,54,231.12975
127232034,2008,168,168,1,0,0,0,71.32144,-156.6691,0,0,29.89999962,144.5,114.5,63.5,2917.80549
127232035,2008,175,181,7,0,0,0,71.32294688,-156.6697156,0,0,31.79999924,147,100.3000031,58,13329.85629
127232036,2008,175,175,1,0,0,0,71.32332,-156.6747,0,0,28.60000038,140,90.69999695,57,155.94353
127232037,2008,175,180,6,0,0,0,71.321725,-156.66691,0,0,30.29999924,146,88.90000153,55,169.14028
127232038,2008,175,178,4,0,0,0,71.32139833,-156.6652067,0,0,31.20000076,143,93.80000305,51.25,94.7642
127232039,2008,175,175,1,0,0,0,71.32208,-156.6701,0,0,29.70000076,144,93,53,232.30218
127232040,2008,175,175,1,0,0,0,71.32261,-156.6702,0,0,29.10000038,140,97.80000305,63.75,273.8207
127232041,2008,175,179,5,4,1,1,71.31911,-156.66008,0,0,32.29999924,150,104.1999969,57.25,153.15224
127232042,2008,175,175,1,0,0,0,71.32283,-156.6729,1,0,28.79999924,144,100.8000031,58.5,1737.29032
127232042,2009,162,177,16,3,1,1,71.31982958,-156.656535,0,1,28.39999962,145,98.5,56.83,15286.42354
127232043,2009,151,151,1,0,0,0,71.32309,-156.67403,0,0,28.84000015,143,95.40000153,57.33,2851.46389
127232044,2009,151,175,25,4,1,1,71.31831429,-156.6544668,0,0,29.12000084,141,102.5999985,57,8534.66226
127232045,2009,151,152,2,0,0,0,71.323665,-156.673245,0,0,31,144.5,91.90000153,50.5,906.65398
127232046,2009,151,151,1,0,0,0,71.32316,-156.67418,0,0,28.95000076,140,94.19999695,60,16832.12078
127232047,2009,151,153,3,0,0,0,71.32163333,-156.6683067,0,0,29.12999916,146.5,106.5999985,58.33,4115.58082
127232048,2009,151,155,5,0,0,0,71.32188667,-156.6745567,0,0,27.77000046,143,92.5,60,1390.2355
127232049,2009,152,152,1,0,0,0,71.32354,-156.67019,0,0,28.79999924,142,108.4000015,59,16835.12861
127232050,2009,152,159,8,0,0,0,71.32166,-156.67204,0,0,29.20000076,145,108.4000015,61.83,3998.17032
127232051,2009,152,152,1,0,0,0,71.32386,-156.67664,0,0,29.14999962,143,91.90000153,NA,10885.753
127232052,2009,152,152,1,0,0,0,71.32369,-156.67674,0,0,27.56999969,148,95.5,NA,9362.70308
127232053,2009,152,152,1,0,0,0,71.3237,-156.67788,0,0,28.64999962,146,110.0999985,59,1718.49978
127232054,2009,152,152,1,0,0,0,71.32348,-156.6728,0,0,30.12000084,146,102.4000015,51.67,2135.82341
127232055,2009,152,152,1,0,0,0,71.32393,-156.67665,0,0,27.96999931,143,104.8000031,54,871.14109
127232056,2009,152,152,1,0,0,0,71.32303,-156.67281,0,0,28.80999947,149,114.3000031,58.33,4279.385
127232057,2009,152,152,1,0,0,0,71.3215,-156.6728,0,0,30.76000023,142,108.6999969,55.25,15500.98126
127232058,2009,153,172,20,0,0,0,71.322176,-156.669568,0,0,29.39999962,145,103.1999969,61.67,610.90438
127232059,2009,154,176,23,0,0,0,71.32058818,-156.6638,0,0,28.51000023,141,95.90000153,61.83,2814.56958
127232060,2009,154,154,1,0,0,0,71.32131,-156.66947,0,0,29.42000008,147,105.6999969,53.25,8756.11734
127232061,2009,154,154,1,0,0,0,71.32272,-156.67183,0,0,31.23999977,153,124,59.5,7743.07229
127232062,2009,154,167,14,0,0,0,71.32000667,-156.6647767,0,0,28.88999939,145,103.1999969,56.5,7876.89081
127232063,2009,155,181,27,0,0,0,71.32049231,-156.6646508,0,0,29.10000038,140,108.3000031,60,28182.19087
127232064,2009,155,155,1,0,0,0,71.32027,-156.67149,0,0,27.82999992,148.5,102.9000015,58,6874.597
127232065,2009,155,181,27,4,1,1,71.32005333,-156.6632617,0,0,27.38999939,140,97.40000153,62,15799.16927
127232066,2009,155,155,1,0,0,0,71.31867,-156.66799,0,0,28.29999924,145,107.5,60,10410.07696
127232067,2009,156,156,1,0,0,0,71.32316,-156.67202,0,0,29.11000061,149,111.5,60,9972.22723
127232068,2009,156,156,1,0,0,0,71.32121,-156.66965,0,0,29.56999969,142,91,52,16251.85051
127232069,2009,157,157,1,0,0,0,71.31865,-156.66897,0,0,28.57999992,142,120.5999985,63,6203.62876
127232070,2009,158,175,18,0,0,0,71.3171075,-156.6480463,0,0,29.89999962,149,109.0999985,61.88,18030.72098
127232071,2009,159,159,1,0,0,0,71.321145,-156.665475,0,0,29.51000023,145.5,99.19999695,61,23063.97775
127232072,2009,159,175,17,4,1,1,71.321924,-156.674326,0,0,29.21999931,144,117.5,60.62,5381.00403
127232073,2009,160,160,1,0,0,0,71.32136,-156.65737,0,0,28.65999985,148,107.5999985,NA,803.41294
127232074,2009,160,177,18,0,0,0,71.32000833,-156.6655917,0,0,27.37000084,139.5,94.90000153,56.5,12823.87021
127232075,2009,160,160,1,0,0,0,71.32328,-156.66282,0,0,28.43000031,148,107.5,NA,10771.66602
127232076,2009,161,168,8,0,0,0,71.31548714,-156.6619557,0,0,29.56999969,150,109.6999969,55,5837.03032
127232077,2009,161,161,1,0,0,0,71.31543,-156.65627,0,0,27.82999992,145,101.5999985,62.5,12693.66294
127232078,2009,162,168,7,0,0,0,71.32188083,-156.6567592,0,0,28.88999939,144.5,111.0999985,58.5,22947.9473
127232079,2009,162,163,2,0,0,0,71.315985,-156.6612,0,0,27.76000023,141,96,56,15179.1444
127232080,2009,162,168,7,0,0,0,71.32284,-156.654205,0,0,27.72999954,146,104.6999969,59.62,27388.26067
127232081,2009,162,177,16,4,1,1,71.32111333,-156.6419217,0,0,29.18000031,144,93.59999847,NA,8737.73236
127232082,2009,163,163,1,0,0,0,71.32165,-156.65777,0,0,30.09000015,148,112.9000015,60.5,16494.50453
127232083,2009,164,171,8,0,0,0,71.32266667,-156.6381267,0,0,27.28000069,147,95.90000153,NA,12232.13921
127232084,2009,160,174,15,3,1,1,71.32229556,-156.6638444,0,0,30.23999977,148.5,109.5,61,14571.90621
127232085,2009,166,166,1,0,0,0,71.31601,-156.6518,0,0,29.30999947,149.5,98.09999847,NA,9174.92188
127232086,2009,167,167,1,0,0,0,71.31859,-156.66014,0,0,29.10000038,145,101.1999969,53.25,735.60788
127232094,2009,174,175,2,0,0,0,71.32367667,-156.67474,0,0,29.54999924,147,103.9000015,62.33,NA
129270203,2009,175,175,1,0,0,0,71.3225,-156.66837,0,0,29.13999939,147.5,89,59.75,NA
162116324,2005,160,160,1,0,0,0,71.33078,-156.6427,0,0,28.60000038,143,112,62.6,NA
162116330,2005,160,168,9,0,0,0,71.32782,-156.642782,0,0,29.5,145,102,62.6,9707.76339
